onset	duration	trial_type	response_time	correct
11.15	1.5	CON3	1131	1
20.984	1.5	CON3	721	1
29.134	1.5	CON3	699	1
36.284	1.5	CON3	734	1
44.434	1.5	CON3	799	1
52.084	1.5	CON3	645	1
70.317	1.5	STM5	932	0
80.534	1.5	STM5	1267	1
90.251	1.5	STM5	926	1
99.467	1.5	STM5	1318	0
109.184	1.5	STM5	793	0
118.401	1.5	STM5	712	1
135.567	1.5	STM3	930	0
143.217	1.5	STM3	0	0
150.367	1.5	STM3	1138	1
158.517	1.5	STM3	1292	1
165.667	1.5	STM3	1086	1
173.317	1.5	STM3	701	1
192.551	1.5	CON5	1586	0
201.767	1.5	CON5	1210	1
211.484	1.5	CON5	821	1
221.701	1.5	CON5	764	1
230.917	1.5	CON5	1020	1
241.134	1.5	CON5	1331	1
