onset	duration	trial_type	response_time	correct
13.216	1.5	CON5	623	1
23.75	1.5	CON5	497	1
33.466	1.5	CON5	805	1
42.683	1.5	CON5	1756	1
52.9	1.5	CON5	923	1
62.616	1.5	CON5	175	1
78.783	1.5	STM3	2104	1
86.933	1.5	STM3	1386	0
94.583	1.5	STM3	1880	0
101.733	1.5	STM3	1034	1
109.883	1.5	STM3	1660	1
117.033	1.5	STM3	1638	1
135.767	1.5	STM5	1288	0
145.983	1.5	STM5	1208	1
155.7	1.5	STM5	1403	1
164.917	1.5	STM5	1298	1
174.633	1.5	STM5	1262	0
184.85	1.5	STM5	2253	1
201.017	1.5	CON3	774	1
208.667	1.5	CON3	1644	1
215.817	1.5	CON3	0	0
223.967	1.5	CON3	1264	1
231.117	1.5	CON3	746	1
239.267	1.5	CON3	2972	1
